job_id,bucket,power,thermal,flow,expected_phase,plane,label
ds-job-000,0,55.88,25.02,0.0,idle,independent,sabotaged
ds-job-000,1,45.16,24.19,0.0,idle,independent,sabotaged
ds-job-000,2,49.68,22.49,0.0,idle,independent,sabotaged
ds-job-000,3,49.28,28.04,0.0,idle,independent,sabotaged
ds-job-000,4,51.67,26.32,0.0,idle,independent,sabotaged
ds-job-000,5,165.49,95.43,0.0,heating,independent,sabotaged
ds-job-000,6,200.36,80.83,0.0,heating,independent,sabotaged
ds-job-000,7,210.55,104.79,0.0,heating,independent,sabotaged
ds-job-000,8,199.43,166.39,0.0,heating,independent,sabotaged
ds-job-000,9,184.6,132.65,0.0,heating,independent,sabotaged
ds-job-000,10,209.08,91.41,0.0,heating,independent,sabotaged
ds-job-000,11,214.06,145.18,0.0,heating,independent,sabotaged
ds-job-000,12,207.31,59.65,0.0,heating,independent,sabotaged
ds-job-000,13,174.9,117.88,0.0,heating,independent,sabotaged
ds-job-000,14,175.37,152.11,0.0,heating,independent,sabotaged
ds-job-000,15,214.86,127.2,0.0,heating,independent,sabotaged
ds-job-000,16,195.8,73.91,0.0,heating,independent,sabotaged
ds-job-000,17,183.3,137.71,0.0,heating,independent,sabotaged
ds-job-000,18,198.58,124.05,0.0,heating,independent,sabotaged
ds-job-000,19,195.32,76.82,0.0,heating,independent,sabotaged
ds-job-000,20,226.47,75.14,0.0,heating,independent,sabotaged
ds-job-000,21,378.16,210.8,11.43,printing,independent,sabotaged
ds-job-000,22,344.04,215.45,10.27,printing,independent,sabotaged
ds-job-000,23,348.58,209.77,11.06,printing,independent,sabotaged
ds-job-000,24,346.23,210.59,12.98,printing,independent,sabotaged
ds-job-000,25,362.1,207.63,10.69,printing,independent,sabotaged
ds-job-000,26,351.51,208.53,12.61,printing,independent,sabotaged
ds-job-000,27,356.97,216.34,9.36,printing,independent,sabotaged
ds-job-000,28,337.51,209.69,11.24,printing,independent,sabotaged
ds-job-000,29,373.97,210.75,13.57,printing,independent,sabotaged
ds-job-000,30,353.9,212.62,9.42,printing,independent,sabotaged
ds-job-000,31,356.85,210.26,15.0,printing,independent,sabotaged
ds-job-000,32,347.0,208.89,11.47,printing,independent,sabotaged
ds-job-000,33,342.65,208.25,10.59,printing,independent,sabotaged
ds-job-000,34,349.67,207.94,13.18,printing,independent,sabotaged
ds-job-000,35,337.37,207.27,12.57,printing,independent,sabotaged
ds-job-000,36,384.75,207.29,9.59,printing,independent,sabotaged
ds-job-000,37,385.33,205.88,9.31,printing,independent,sabotaged
ds-job-000,38,346.52,208.69,11.22,printing,independent,sabotaged
ds-job-000,39,325.48,218.0,11.03,printing,independent,sabotaged
ds-job-000,40,361.49,207.14,12.32,printing,independent,sabotaged
ds-job-000,41,325.5,211.4,13.37,printing,independent,sabotaged
ds-job-000,42,360.47,208.75,11.07,printing,independent,sabotaged
ds-job-000,43,353.85,206.25,11.8,printing,independent,sabotaged
ds-job-000,44,358.12,207.91,10.54,printing,independent,sabotaged
ds-job-000,45,335.53,206.68,11.25,printing,independent,sabotaged
ds-job-000,46,356.24,205.8,12.24,printing,independent,sabotaged
ds-job-000,47,335.45,209.23,11.65,printing,independent,sabotaged
ds-job-000,48,364.64,211.43,11.65,printing,independent,sabotaged
ds-job-000,49,346.72,210.91,10.39,printing,independent,sabotaged
ds-job-000,50,350.88,211.1,10.71,printing,independent,sabotaged
ds-job-000,51,374.03,209.04,10.26,printing,independent,sabotaged
ds-job-000,52,317.42,211.69,11.56,printing,independent,sabotaged
ds-job-000,53,352.25,211.53,13.83,printing,independent,sabotaged
ds-job-000,54,356.96,209.69,10.67,printing,independent,sabotaged
ds-job-000,55,362.09,208.44,12.5,printing,independent,sabotaged
ds-job-000,56,340.92,208.03,13.2,printing,independent,sabotaged
ds-job-000,57,336.84,213.48,9.48,printing,independent,sabotaged
ds-job-000,58,360.24,208.98,12.66,printing,independent,sabotaged
ds-job-000,59,356.52,207.64,11.03,printing,independent,sabotaged
ds-job-000,60,290.0,207.77,0.0,printing,independent,sabotaged
ds-job-000,61,290.0,210.34,0.0,printing,independent,sabotaged
ds-job-000,62,339.86,206.77,11.24,printing,independent,sabotaged
ds-job-000,63,319.94,206.53,12.0,printing,independent,sabotaged
ds-job-000,64,349.49,209.02,12.17,printing,independent,sabotaged
ds-job-000,65,373.82,209.78,12.37,printing,independent,sabotaged
ds-job-000,66,365.99,209.61,11.12,printing,independent,sabotaged
ds-job-000,67,346.93,212.09,11.5,printing,independent,sabotaged
ds-job-000,68,308.61,212.65,10.86,printing,independent,sabotaged
ds-job-000,69,339.68,206.59,13.54,printing,independent,sabotaged
ds-job-000,70,339.62,207.08,9.53,printing,independent,sabotaged
ds-job-000,71,353.85,205.37,10.73,printing,independent,sabotaged
ds-job-000,72,327.07,203.76,11.55,printing,independent,sabotaged
ds-job-000,73,357.37,210.22,13.54,printing,independent,sabotaged
ds-job-000,74,365.7,205.15,8.57,printing,independent,sabotaged
ds-job-000,75,353.74,206.21,12.93,printing,independent,sabotaged
ds-job-000,76,334.52,210.86,11.07,printing,independent,sabotaged
ds-job-000,77,341.25,209.83,11.94,printing,independent,sabotaged
ds-job-000,78,323.09,210.9,12.19,printing,independent,sabotaged
ds-job-000,79,347.18,207.0,13.1,printing,independent,sabotaged
ds-job-000,80,352.86,207.5,11.3,printing,independent,sabotaged
ds-job-000,81,348.0,207.68,12.45,printing,independent,sabotaged
ds-job-000,82,305.04,213.87,10.0,printing,independent,sabotaged
ds-job-000,83,313.61,208.77,11.97,printing,independent,sabotaged
ds-job-000,84,350.61,207.46,10.04,printing,independent,sabotaged
ds-job-000,85,330.2,209.0,11.22,printing,independent,sabotaged
ds-job-000,86,337.02,209.15,12.33,printing,independent,sabotaged
ds-job-000,87,329.33,204.2,12.18,printing,independent,sabotaged
ds-job-000,88,328.82,216.29,10.99,printing,independent,sabotaged
ds-job-000,89,335.37,207.53,10.88,printing,independent,sabotaged
ds-job-000,90,367.71,211.82,10.87,printing,independent,sabotaged
ds-job-000,91,363.03,212.06,11.95,printing,independent,sabotaged
ds-job-000,92,350.63,211.12,13.39,printing,independent,sabotaged
ds-job-000,93,321.87,205.59,11.27,printing,independent,sabotaged
ds-job-000,94,344.54,214.03,11.26,printing,independent,sabotaged
ds-job-000,95,346.0,206.76,10.63,printing,independent,sabotaged
ds-job-000,96,355.86,204.82,11.38,printing,independent,sabotaged
ds-job-000,97,338.44,207.75,13.24,printing,independent,sabotaged
ds-job-000,98,332.56,209.69,11.33,printing,independent,sabotaged
ds-job-000,99,338.72,209.75,12.95,printing,independent,sabotaged
ds-job-000,100,66.76,116.13,0.0,cooling,independent,sabotaged
ds-job-000,101,58.24,119.56,0.0,cooling,independent,sabotaged
ds-job-000,102,69.02,129.37,0.0,cooling,independent,sabotaged
ds-job-000,103,62.38,90.91,0.0,cooling,independent,sabotaged
ds-job-000,104,63.88,106.58,0.0,cooling,independent,sabotaged
ds-job-000,105,64.51,99.24,0.0,cooling,independent,sabotaged
ds-job-000,106,53.5,152.31,0.0,cooling,independent,sabotaged
ds-job-000,107,70.03,120.44,0.0,cooling,independent,sabotaged
ds-job-000,108,73.35,196.42,0.0,cooling,independent,sabotaged
ds-job-000,109,58.06,130.64,0.0,cooling,independent,sabotaged
ds-job-000,110,66.42,199.32,0.0,cooling,independent,sabotaged
ds-job-001,0,54.11,26.3,0.0,idle,independent,legitimate
ds-job-001,1,45.62,25.65,0.0,idle,independent,legitimate
ds-job-001,2,50.33,26.94,0.0,idle,independent,legitimate
ds-job-001,3,48.12,26.9,0.0,idle,independent,legitimate
ds-job-001,4,48.28,25.26,0.0,idle,independent,legitimate
ds-job-001,5,50.8,25.48,0.0,idle,independent,legitimate
ds-job-001,6,50.12,24.12,0.0,idle,independent,legitimate
ds-job-001,7,50.08,27.71,0.0,idle,independent,legitimate
ds-job-001,8,204.12,125.83,0.0,heating,independent,legitimate
ds-job-001,9,199.78,141.42,0.0,heating,independent,legitimate
ds-job-001,10,200.94,126.22,0.0,heating,independent,legitimate
ds-job-001,11,204.73,71.23,0.0,heating,independent,legitimate
ds-job-001,12,219.92,89.37,0.0,heating,independent,legitimate
ds-job-001,13,205.84,109.64,0.0,heating,independent,legitimate
ds-job-001,14,223.59,56.47,0.0,heating,independent,legitimate
ds-job-001,15,188.48,132.53,0.0,heating,independent,legitimate
ds-job-001,16,185.25,65.27,0.0,heating,independent,legitimate
ds-job-001,17,202.41,133.3,0.0,heating,independent,legitimate
ds-job-001,18,221.49,112.3,0.0,heating,independent,legitimate
ds-job-001,19,206.27,119.35,0.0,heating,independent,legitimate
ds-job-001,20,221.26,95.8,0.0,heating,independent,legitimate
ds-job-001,21,179.79,123.06,0.0,heating,independent,legitimate
ds-job-001,22,186.06,125.6,0.0,heating,independent,legitimate
ds-job-001,23,200.83,128.91,0.0,heating,independent,legitimate
ds-job-001,24,229.3,151.64,0.0,heating,independent,legitimate
ds-job-001,25,167.88,152.29,0.0,heating,independent,legitimate
ds-job-001,26,196.47,140.59,0.0,heating,independent,legitimate
ds-job-001,27,234.01,156.62,0.0,heating,independent,legitimate
ds-job-001,28,164.93,167.4,0.0,heating,independent,legitimate
ds-job-001,29,175.75,120.47,0.0,heating,independent,legitimate
ds-job-001,30,176.87,121.12,0.0,heating,independent,legitimate
ds-job-001,31,206.06,85.12,0.0,heating,independent,legitimate
ds-job-001,32,380.4,213.6,9.61,printing,independent,legitimate
ds-job-001,33,334.27,206.8,9.76,printing,independent,legitimate
ds-job-001,34,325.4,210.58,10.48,printing,independent,legitimate
ds-job-001,35,338.11,205.09,11.27,printing,independent,legitimate
ds-job-001,36,376.76,204.38,10.79,printing,independent,legitimate
ds-job-001,37,359.17,206.32,11.39,printing,independent,legitimate
ds-job-001,38,354.68,213.62,12.14,printing,independent,legitimate
ds-job-001,39,356.15,212.52,9.77,printing,independent,legitimate
ds-job-001,40,345.74,202.55,11.49,printing,independent,legitimate
ds-job-001,41,341.11,210.83,8.88,printing,independent,legitimate
ds-job-001,42,314.61,207.74,9.97,printing,independent,legitimate
ds-job-001,43,357.87,210.22,11.51,printing,independent,legitimate
ds-job-001,44,321.72,209.95,9.49,printing,independent,legitimate
ds-job-001,45,387.74,211.23,10.3,printing,independent,legitimate
ds-job-001,46,337.37,205.46,10.45,printing,independent,legitimate
ds-job-001,47,335.54,209.7,13.55,printing,independent,legitimate
ds-job-001,48,327.21,213.25,10.81,printing,independent,legitimate
ds-job-001,49,340.79,204.18,13.29,printing,independent,legitimate
ds-job-001,50,371.64,206.54,12.14,printing,independent,legitimate
ds-job-001,51,321.33,204.82,9.89,printing,independent,legitimate
ds-job-001,52,369.28,208.92,10.99,printing,independent,legitimate
ds-job-001,53,366.89,207.8,12.14,printing,independent,legitimate
ds-job-001,54,344.78,212.62,10.61,printing,independent,legitimate
ds-job-001,55,346.53,209.47,11.97,printing,independent,legitimate
ds-job-001,56,334.62,208.68,12.58,printing,independent,legitimate
ds-job-001,57,353.38,215.68,10.54,printing,independent,legitimate
ds-job-001,58,350.54,212.35,14.3,printing,independent,legitimate
ds-job-001,59,321.06,206.72,11.51,printing,independent,legitimate
ds-job-001,60,364.51,204.89,11.56,printing,independent,legitimate
ds-job-001,61,352.54,204.41,11.45,printing,independent,legitimate
ds-job-001,62,358.16,207.28,10.87,printing,independent,legitimate
ds-job-001,63,339.34,212.79,11.73,printing,independent,legitimate
ds-job-001,64,343.25,211.44,8.0,printing,independent,legitimate
ds-job-001,65,351.3,206.71,13.45,printing,independent,legitimate
ds-job-001,66,380.52,205.11,11.17,printing,independent,legitimate
ds-job-001,67,348.81,204.31,12.88,printing,independent,legitimate
ds-job-001,68,342.48,209.81,9.76,printing,independent,legitimate
ds-job-001,69,330.62,208.48,12.19,printing,independent,legitimate
ds-job-001,70,327.26,206.53,11.89,printing,independent,legitimate
ds-job-001,71,368.14,209.31,9.5,printing,independent,legitimate
ds-job-001,72,355.57,206.62,10.63,printing,independent,legitimate
ds-job-001,73,357.31,212.78,9.63,printing,independent,legitimate
ds-job-001,74,335.41,212.0,11.95,printing,independent,legitimate
ds-job-001,75,348.54,203.41,13.71,printing,independent,legitimate
ds-job-001,76,363.67,210.46,11.24,printing,independent,legitimate
ds-job-001,77,352.44,210.78,8.52,printing,independent,legitimate
ds-job-001,78,300.0,207.56,9.99,printing,independent,legitimate
ds-job-001,79,343.78,205.12,9.4,printing,independent,legitimate
ds-job-001,80,339.35,210.96,13.46,printing,independent,legitimate
ds-job-001,81,339.71,207.39,12.23,printing,independent,legitimate
ds-job-001,82,369.31,206.89,11.44,printing,independent,legitimate
ds-job-001,83,381.53,205.4,10.11,printing,independent,legitimate
ds-job-001,84,353.51,205.0,11.74,printing,independent,legitimate
ds-job-001,85,350.92,211.95,10.5,printing,independent,legitimate
ds-job-001,86,373.8,210.62,12.67,printing,independent,legitimate
ds-job-001,87,353.76,209.01,11.67,printing,independent,legitimate
ds-job-001,88,322.34,209.56,11.32,printing,independent,legitimate
ds-job-001,89,333.39,203.64,12.27,printing,independent,legitimate
ds-job-001,90,349.09,210.19,10.81,printing,independent,legitimate
ds-job-001,91,364.03,207.93,13.24,printing,independent,legitimate
ds-job-001,92,373.12,208.69,10.63,printing,independent,legitimate
ds-job-001,93,361.95,209.06,10.69,printing,independent,legitimate
ds-job-001,94,345.83,209.33,10.21,printing,independent,legitimate
ds-job-001,95,366.51,208.14,11.79,printing,independent,legitimate
ds-job-001,96,321.64,213.35,11.88,printing,independent,legitimate
ds-job-001,97,329.99,211.53,11.85,printing,independent,legitimate
ds-job-001,98,345.49,208.37,12.12,printing,independent,legitimate
ds-job-001,99,360.71,208.76,13.39,printing,independent,legitimate
ds-job-001,100,344.89,209.69,11.1,printing,independent,legitimate
ds-job-001,101,327.8,211.8,11.26,printing,independent,legitimate
ds-job-001,102,334.67,205.52,10.15,printing,independent,legitimate
ds-job-001,103,349.42,212.8,8.55,printing,independent,legitimate
ds-job-001,104,357.99,205.25,13.35,printing,independent,legitimate
ds-job-001,105,345.32,210.72,10.72,printing,independent,legitimate
ds-job-001,106,339.8,203.56,12.41,printing,independent,legitimate
ds-job-001,107,344.32,207.37,12.98,printing,independent,legitimate
ds-job-001,108,320.76,214.27,12.5,printing,independent,legitimate
ds-job-001,109,352.96,214.81,11.45,printing,independent,legitimate
ds-job-001,110,343.8,218.0,11.99,printing,independent,legitimate
ds-job-001,111,400.0,210.74,11.04,printing,independent,legitimate
ds-job-001,112,319.41,207.47,12.29,printing,independent,legitimate
ds-job-001,113,352.75,205.89,12.29,printing,independent,legitimate
ds-job-001,114,347.95,207.13,11.66,printing,independent,legitimate
ds-job-001,115,371.51,211.66,13.38,printing,independent,legitimate
ds-job-001,116,333.68,211.67,9.0,printing,independent,legitimate
ds-job-001,117,328.85,207.58,11.16,printing,independent,legitimate
ds-job-001,118,367.15,210.17,11.61,printing,independent,legitimate
ds-job-001,119,335.0,205.35,12.18,printing,independent,legitimate
ds-job-001,120,344.23,206.9,11.12,printing,independent,legitimate
ds-job-001,121,368.44,209.44,11.36,printing,independent,legitimate
ds-job-001,122,375.74,215.42,11.03,printing,independent,legitimate
ds-job-001,123,345.68,205.1,10.0,printing,independent,legitimate
ds-job-001,124,357.38,205.32,13.32,printing,independent,legitimate
ds-job-001,125,358.97,212.41,11.63,printing,independent,legitimate
ds-job-001,126,356.46,212.46,11.18,printing,independent,legitimate
ds-job-001,127,345.56,211.74,13.28,printing,independent,legitimate
ds-job-001,128,341.23,208.29,10.57,printing,independent,legitimate
